id,Trust,POD,detail_01,detail_02,detail_03,detail_04,act,value
Inpatients,NT245,EL,H,HB,HB12,HB12C,122,637
Inpatients,NT245,EL,H,HB,HB21,HB21B,14,89
Inpatients,NT245,EL,H,HB,HB21,HB21C,89,503
Inpatients,NT245,EL,H,HB,HB22,HB22B,1,3
Inpatients,NT245,EL,H,HB,HB22,HB22C,10,26
Inpatients,NT245,EL,H,HB,HB23,HB23B,1,2
Inpatients,NT245,EL,H,HB,HB23,HB23C,3,5
Inpatients,NT245,EL,H,HB,HB31,HB31Z,9,45
Inpatients,NT245,EL,H,HB,HB32,HB32A,16,47
Inpatients,NT245,EL,H,HB,HB33,HB33D,1,3
Inpatients,NT245,EL,H,HB,HB33,HB33E,9,15
Inpatients,NT245,EL,H,HB,HB34,HB34E,3,3
Inpatients,NT245,EL,H,HB,HB61,HB61C,6,31
Inpatients,NT245,EL,H,HB,HB62,HB62C,10,22
Inpatients,NT245,EL,H,HR,HR04,HR04C,1,10
Inpatients,NT245,EL,H,HR,HR05,HR05Z,82,727
Inpatients,NT245,EL,H,HR,HR06,HR06A,6,41
Inpatients,NT245,EL,J,JC,JC06,JC06B,1,1
Inpatients,NT245,EL,L,LB,LB16,LB16B,1,1
Inpatients,NT245,EL,S,SA,SA13,SA13A,1,1
Inpatients,NVC28,DC,A,AB,AB06,AB06Z,13,2
Inpatients,NVC28,DC,H,HA,HA25,HA25C,1,3
Inpatients,NVC28,DC,H,HA,HA31,HA31C,1,3
Inpatients,NVC28,DC,H,HA,HA33,HA33Z,1,2
Inpatients,NVC28,DC,H,HA,HA35,HA35Z,3,6
Inpatients,NVC28,DC,H,HA,HA51,HA51Z,6,25
Inpatients,NVC28,DC,H,HA,HA54,HA54Z,2,3
Inpatients,NVC28,DC,H,HA,HA55,HA55Z,2,3
Inpatients,NVC28,DC,H,HA,HA61,HA61C,1,3
Inpatients,NVC28,DC,H,HA,HA72,HA72Z,3,7
Inpatients,NVC28,DC,H,HB,HB12,HB12B,1,6
Inpatients,NVC28,DC,H,HB,HB14,HB14C,2,4
Inpatients,NVC28,DC,H,HB,HB15,HB15E,2,3
Inpatients,NVC28,DC,H,HB,HB19,HB19Z,12,8
Inpatients,NVC28,DC,H,HB,HB21,HB21C,7,40
Inpatients,NVC28,DC,H,HB,HB22,HB22B,25,84
Inpatients,NVC28,DC,H,HB,HB22,HB22C,234,561
Inpatients,NVC28,DC,H,HB,HB23,HB23B,8,18
Inpatients,NVC28,DC,H,HB,HB23,HB23C,130,215
Inpatients,NVC28,DC,H,HB,HB24,HB24C,7,8
Inpatients,NVC28,DC,H,HB,HB25,HB25F,1,1
Inpatients,NVC28,DC,H,HB,HB31,HB31Z,48,150
Inpatients,NVC28,DC,H,HB,HB32,HB32A,33,97
Inpatients,NVC28,DC,H,HB,HB33,HB33D,5,13
Inpatients,NVC28,DC,H,HB,HB33,HB33E,39,66
Inpatients,NVC28,DC,H,HB,HB34,HB34D,10,19
Inpatients,NVC28,DC,H,HB,HB34,HB34E,63,74
Inpatients,NVC28,DC,H,HB,HB34,HB34G,1,1
Inpatients,NVC28,DC,H,HB,HB35,HB35C,21,5
Inpatients,NVC28,DC,H,HB,HB39,HB39Z,86,59
Inpatients,NVC28,DC,H,HB,HB51,HB51Z,69,332
Inpatients,NVC28,DC,H,HB,HB52,HB52C,2,7
Inpatients,NVC28,DC,H,HB,HB53,HB53Z,29,70
Inpatients,NVC28,DC,H,HB,HB54,HB54B,13,19
Inpatients,NVC28,DC,H,HB,HB54,HB54C,67,75
Inpatients,NVC28,DC,H,HB,HB55,HB55B,28,25
Inpatients,NVC28,DC,H,HB,HB55,HB55C,101,84
Inpatients,NVC28,DC,H,HB,HB56,HB56B,2,1
Inpatients,NVC28,DC,H,HB,HB56,HB56C,26,6
Inpatients,NVC28,DC,H,HB,HB59,HB59Z,3,2
Inpatients,NVC28,DC,H,HB,HB61,HB61B,18,99
Inpatients,NVC28,DC,H,HB,HB61,HB61C,147,538
Inpatients,NVC28,DC,H,HB,HB62,HB62B,5,16
Inpatients,NVC28,DC,H,HB,HB62,HB62C,36,88
Inpatients,NVC28,DC,H,HB,HB63,HB63Z,4,4
Inpatients,NVC28,DC,H,HB,HB69,HB69Z,5,1
Inpatients,NVC28,DC,H,HB,HB72,HB72Z,21,51
Inpatients,NVC28,DC,H,HB,HB73,HB73Z,52,58
Inpatients,NVC28,DC,H,HR,HR06,HR06A,27,186
Inpatients,NVC28,DC,J,JC,JC14,JC14Z,1,1
Inpatients,NVC28,DC,J,JC,JC15,JC15Z,1,1
Inpatients,NVC28,DC,J,JC,JC16,JC16Z,5,4
Inpatients,NVC28,EL,H,HA,HA31,HA31C,2,6
Inpatients,NVC28,EL,H,HA,HA32,HA32Z,1,3
Inpatients,NVC28,EL,H,HA,HA33,HA33Z,2,4
Inpatients,NVC28,EL,H,HA,HA51,HA51Z,1,4
Inpatients,NVC28,EL,H,HA,HA54,HA54Z,1,1
Inpatients,NVC28,EL,H,HA,HA55,HA55Z,1,1
Inpatients,NVC28,EL,H,HA,HA71,HA71C,2,6
Inpatients,NVC28,EL,H,HB,HB11,HB11B,3,18
Inpatients,NVC28,EL,H,HB,HB11,HB11C,51,298
Inpatients,NVC28,EL,H,HB,HB12,HB12A,6,44
Inpatients,NVC28,EL,H,HB,HB12,HB12B,23,137
Inpatients,NVC28,EL,H,HB,HB12,HB12C,206,1077
Inpatients,NVC28,EL,H,HB,HB21,HB21A,10,76
Inpatients,NVC28,EL,H,HB,HB21,HB21B,41,260
Inpatients,NVC28,EL,H,HB,HB21,HB21C,194,1095
Inpatients,NVC28,EL,H,HB,HB22,HB22B,1,3
Inpatients,NVC28,EL,H,HB,HB22,HB22C,8,19
Inpatients,NVC28,EL,H,HB,HB23,HB23B,2,5
Inpatients,NVC28,EL,H,HB,HB23,HB23C,9,15
Inpatients,NVC28,EL,H,HB,HB31,HB31Z,24,120
Inpatients,NVC28,EL,H,HB,HB32,HB32A,39,115
Inpatients,NVC28,EL,H,HB,HB33,HB33D,2,5
Inpatients,NVC28,EL,H,HB,HB33,HB33E,12,20
Inpatients,NVC28,EL,H,HB,HB34,HB34D,1,2
Inpatients,NVC28,EL,H,HB,HB34,HB34E,15,16
Inpatients,NVC28,EL,H,HB,HB35,HB35B,1,1
Inpatients,NVC28,EL,H,HB,HB35,HB35C,2,1
Inpatients,NVC28,EL,H,HB,HB51,HB51Z,2,10
Inpatients,NVC28,EL,H,HB,HB54,HB54B,1,1
Inpatients,NVC28,EL,H,HB,HB54,HB54C,5,6
Inpatients,NVC28,EL,H,HB,HB55,HB55C,2,2
Inpatients,NVC28,EL,H,HB,HB61,HB61B,8,44
Inpatients,NVC28,EL,H,HB,HB61,HB61C,23,118
Inpatients,NVC28,EL,H,HB,HB62,HB62C,3,7
Inpatients,NVC28,EL,H,HB,HB71,HB71C,1,5
Inpatients,NVC28,EL,H,HB,HB72,HB72Z,2,5
Inpatients,NVC28,EL,H,HB,HB73,HB73Z,2,2
Inpatients,NVC28,EL,H,HR,HR04,HR04B,2,21
Inpatients,NVC28,EL,H,HR,HR04,HR04C,8,81
Inpatients,NVC28,EL,H,HR,HR05,HR05Z,152,1350
Inpatients,NVC28,EL,H,HR,HR06,HR06A,5,34
Inpatients,NVC28,EL,J,JC,JC07,JC07Z,1,1
Inpatients,RCB,DC,A,AA,AA15,AA15A,1,5
Inpatients,RCB,DC,A,AA,AA19,AA19A,2,4
Inpatients,RCB,DC,A,AA,AA20,AA20A,4,10
Inpatients,RCB,DC,A,AA,AA20,AA20B,20,37
Inpatients,RCB,DC,A,AA,AA21,AA21A,66,100
Inpatients,RCB,DC,A,AA,AA21,AA21B,31,26
Inpatients,RCB,DC,A,AA,AA24,AA24A,1,1
Inpatients,RCB,DC,A,AA,AA25,AA25A,13,17
Inpatients,RCB,DC,A,AA,AA25,AA25B,33,16
Inpatients,RCB,DC,A,AA,AA26,AA26A,123,91
Inpatients,RCB,DC,A,AA,AA26,AA26B,208,122
Inpatients,RCB,DC,A,AA,AA30,AA30A,1,1
Inpatients,RCB,DC,A,AA,AA30,AA30B,85,29
Inpatients,RCB,DC,A,AA,AA31,AA31A,32,20
Inpatients,RCB,DC,A,AA,AA31,AA31B,76,30
Inpatients,RCB,DC,A,AA,AA33,AA33D,3,2
Inpatients,RCB,DC,A,AB,AB02,AB02Z,3,2
Inpatients,RCB,DC,A,AB,AB03,AB03Z,38,19
Inpatients,RCB,DC,A,AB,AB04,AB04Z,138,81
Inpatients,RCB,DC,A,AB,AB05,AB05Z,180,84
Inpatients,RCB,DC,A,AB,AB06,AB06Z,436,81
Inpatients,RCB,DC,A,AB,AB08,AB08Z,214,137
Inpatients,RCB,DC,A,AB,AB09,AB09Z,18,10
Inpatients,RCB,DC,A,AB,AB10,AB10Z,1,1
Inpatients,RCB,DC,B,BZ,BZ01,BZ01Z,53,53
Inpatients,RCB,DC,B,BZ,BZ02,BZ02Z,2175,1615
Inpatients,RCB,DC,B,BZ,BZ03,BZ03Z,18,17
Inpatients,RCB,DC,B,BZ,BZ05,BZ05Z,12,15
Inpatients,RCB,DC,B,BZ,BZ06,BZ06A,69,60
Inpatients,RCB,DC,B,BZ,BZ07,BZ07A,142,86
Inpatients,RCB,DC,B,BZ,BZ07,BZ07B,7,5
Inpatients,RCB,DC,B,BZ,BZ08,BZ08A,2,4
Inpatients,RCB,DC,B,BZ,BZ09,BZ09A,12,17
Inpatients,RCB,DC,B,BZ,BZ09,BZ09B,1,1
Inpatients,RCB,DC,B,BZ,BZ10,BZ10A,25,15
Inpatients,RCB,DC,B,BZ,BZ10,BZ10B,2,2
Inpatients,RCB,DC,B,BZ,BZ12,BZ12Z,4,6
Inpatients,RCB,DC,B,BZ,BZ13,BZ13Z,16,14
Inpatients,RCB,DC,B,BZ,BZ14,BZ14A,3,4
Inpatients,RCB,DC,B,BZ,BZ15,BZ15A,10,11
Inpatients,RCB,DC,B,BZ,BZ15,BZ15B,16,18
Inpatients,RCB,DC,B,BZ,BZ16,BZ16A,6,6
Inpatients,RCB,DC,B,BZ,BZ16,BZ16B,2,2
Inpatients,RCB,DC,B,BZ,BZ17,BZ17Z,13,18
Inpatients,RCB,DC,B,BZ,BZ18,BZ18Z,84,82
Inpatients,RCB,DC,B,BZ,BZ19,BZ19Z,11,5
Inpatients,RCB,DC,B,BZ,BZ20,BZ20Z,20,36
Inpatients,RCB,DC,B,BZ,BZ21,BZ21Z,135,193
Inpatients,RCB,DC,B,BZ,BZ22,BZ22Z,40,47
Inpatients,RCB,DC,B,BZ,BZ23,BZ23Z,39,14
Inpatients,RCB,DC,B,BZ,BZ24,BZ24C,27,8
Inpatients,RCB,DC,C,CZ,CZ01,CZ01V,9,6
Inpatients,RCB,DC,C,CZ,CZ01,CZ01Y,5,1
Inpatients,RCB,DC,C,CZ,CZ02,CZ02T,1,1
Inpatients,RCB,DC,C,CZ,CZ02,CZ02X,33,33
Inpatients,RCB,DC,C,CZ,CZ02,CZ02Y,31,26
Inpatients,RCB,DC,C,CZ,CZ03,CZ03U,1,3
Inpatients,RCB,DC,C,CZ,CZ03,CZ03V,23,58
Inpatients,RCB,DC,C,CZ,CZ03,CZ03Y,18,35
Inpatients,RCB,DC,C,CZ,CZ05,CZ05S,4,5
Inpatients,RCB,DC,C,CZ,CZ05,CZ05T,78,86
Inpatients,RCB,DC,C,CZ,CZ05,CZ05V,6,7
Inpatients,RCB,DC,C,CZ,CZ05,CZ05Y,65,69
Inpatients,RCB,DC,C,CZ,CZ08,CZ08T,158,113
Inpatients,RCB,DC,C,CZ,CZ08,CZ08V,29,20
Inpatients,RCB,DC,C,CZ,CZ08,CZ08Y,43,29
Inpatients,RCB,DC,C,CZ,CZ09,CZ09U,3,4
Inpatients,RCB,DC,C,CZ,CZ09,CZ09V,5,5
Inpatients,RCB,DC,C,CZ,CZ09,CZ09Y,6,6
Inpatients,RCB,DC,C,CZ,CZ10,CZ10U,14,27
Inpatients,RCB,DC,C,CZ,CZ10,CZ10V,8,16
Inpatients,RCB,DC,C,CZ,CZ10,CZ10Y,16,32
Inpatients,RCB,DC,C,CZ,CZ12,CZ12U,16,11
Inpatients,RCB,DC,C,CZ,CZ12,CZ12V,36,25
Inpatients,RCB,DC,C,CZ,CZ12,CZ12Y,45,27
Inpatients,RCB,DC,C,CZ,CZ13,CZ13U,5,6
Inpatients,RCB,DC,C,CZ,CZ13,CZ13V,24,29
Inpatients,RCB,DC,C,CZ,CZ13,CZ13Y,88,102
Inpatients,RCB,DC,C,CZ,CZ14,CZ14U,1,2
Inpatients,RCB,DC,C,CZ,CZ14,CZ14V,15,23
Inpatients,RCB,DC,C,CZ,CZ14,CZ14Y,23,33
Inpatients,RCB,DC,C,CZ,CZ15,CZ15N,10,17
Inpatients,RCB,DC,C,CZ,CZ15,CZ15Q,8,12
Inpatients,RCB,DC,C,CZ,CZ16,CZ16Q,4,5
Inpatients,RCB,DC,C,CZ,CZ17,CZ17U,3,4
Inpatients,RCB,DC,C,CZ,CZ17,CZ17V,7,15
Inpatients,RCB,DC,C,CZ,CZ17,CZ17Y,12,17
Inpatients,RCB,DC,C,CZ,CZ21,CZ21V,2,2
Inpatients,RCB,DC,C,CZ,CZ21,CZ21Y,4,2
Inpatients,RCB,DC,C,CZ,CZ22,CZ22Y,1,1
Inpatients,RCB,DC,C,CZ,CZ23,CZ23Y,3,1
Inpatients,RCB,DC,C,CZ,CZ27,CZ27Z,12,29
Inpatients,RCB,DC,C,CZ,CZ30,CZ30U,11,1
Inpatients,RCB,DC,C,CZ,CZ30,CZ30Y,3,1
Inpatients,RCB,DC,C,CZ,CZ31,CZ31Y,2,1
Inpatients,RCB,DC,C,CZ,CZ32,CZ32U,3,1
Inpatients,RCB,DC,C,CZ,CZ32,CZ32Y,1,1
Inpatients,RCB,DC,C,CZ,CZ34,CZ34U,11,6
Inpatients,RCB,DC,C,CZ,CZ34,CZ34Y,15,2
Inpatients,RCB,DC,C,CZ,CZ36,CZ36U,8,5
Inpatients,RCB,DC,C,CZ,CZ36,CZ36Y,32,17
Inpatients,RCB,DC,C,CZ,CZ37,CZ37U,160,73
Inpatients,RCB,DC,C,CZ,CZ37,CZ37Y,91,41
Inpatients,RCB,DC,C,CZ,CZ39,CZ39Y,5,4
Inpatients,RCB,DC,C,CZ,CZ40,CZ40U,21,17
Inpatients,RCB,DC,C,CZ,CZ40,CZ40Y,65,35
Inpatients,RCB,DC,C,CZ,CZ41,CZ41U,10,9
Inpatients,RCB,DC,C,CZ,CZ41,CZ41Y,254,163
Inpatients,RCB,DC,C,CZ,CZ42,CZ42U,198,7
Inpatients,RCB,DC,C,CZ,CZ42,CZ42Y,31,15
Inpatients,RCB,DC,D,DZ,DZ03,DZ03A,3,8
Inpatients,RCB,DC,D,DZ,DZ03,DZ03B,1,2
Inpatients,RCB,DC,D,DZ,DZ04,DZ04A,1,2
Inpatients,RCB,DC,D,DZ,DZ06,DZ06Z,60,40
Inpatients,RCB,DC,D,DZ,DZ07,DZ07A,80,41
Inpatients,RCB,DC,D,DZ,DZ09,DZ09A,7,3
Inpatients,RCB,DC,D,DZ,DZ09,DZ09B,27,6
Inpatients,RCB,DC,D,DZ,DZ09,DZ09C,16,1
Inpatients,RCB,DC,D,DZ,DZ11,DZ11A,3,1
Inpatients,RCB,DC,D,DZ,DZ11,DZ11B,11,1
Inpatients,RCB,DC,D,DZ,DZ11,DZ11C,21,1
Inpatients,RCB,DC,D,DZ,DZ12,DZ12A,2,5
Inpatients,RCB,DC,D,DZ,DZ12,DZ12B,4,2
Inpatients,RCB,DC,D,DZ,DZ15,DZ15D,13,27
Inpatients,RCB,DC,D,DZ,DZ15,DZ15E,1,1
Inpatients,RCB,DC,D,DZ,DZ16,DZ16A,2,2
Inpatients,RCB,DC,D,DZ,DZ16,DZ16B,5,10
Inpatients,RCB,DC,D,DZ,DZ16,DZ16C,3,4
Inpatients,RCB,DC,D,DZ,DZ17,DZ17A,7,8
Inpatients,RCB,DC,D,DZ,DZ17,DZ17B,15,15
Inpatients,RCB,DC,D,DZ,DZ17,DZ17C,15,10
Inpatients,RCB,DC,D,DZ,DZ19,DZ19A,1,2
Inpatients,RCB,DC,D,DZ,DZ19,DZ19B,11,9
Inpatients,RCB,DC,D,DZ,DZ19,DZ19C,7,1
Inpatients,RCB,DC,D,DZ,DZ21,DZ21A,2,1
Inpatients,RCB,DC,D,DZ,DZ22,DZ22B,8,3
Inpatients,RCB,DC,D,DZ,DZ22,DZ22C,4,1
Inpatients,RCB,DC,D,DZ,DZ25,DZ25B,1,1
Inpatients,RCB,DC,D,DZ,DZ29,DZ29A,11,7
Inpatients,RCB,DC,D,DZ,DZ29,DZ29B,10,5
Inpatients,RCB,DC,D,DZ,DZ30,DZ30Z,1,1
Inpatients,RCB,DC,D,DZ,DZ42,DZ42Z,105,16
Inpatients,RCB,DC,E,EA,EA03,EA03Z,137,298
Inpatients,RCB,DC,E,EA,EA05,EA05Z,47,145
Inpatients,RCB,DC,E,EA,EA26,EA26Z,3,13
Inpatients,RCB,DC,E,EA,EA31,EA31Z,30,78
Inpatients,RCB,DC,E,EA,EA35,EA35Z,18,36
Inpatients,RCB,DC,E,EA,EA36,EA36A,323,386
Inpatients,RCB,DC,E,EA,EA44,EA44Z,27,29
Inpatients,RCB,DC,E,EA,EA45,EA45Z,1,1
Inpatients,RCB,DC,E,EA,EA47,EA47Z,3,1
Inpatients,RCB,DC,E,EA,EA49,EA49Z,7,22
Inpatients,RCB,DC,E,EB,EB01,EB01Z,65,6
Inpatients,RCB,DC,E,EB,EB03,EB03H,7,4
Inpatients,RCB,DC,E,EB,EB03,EB03I,5,2
Inpatients,RCB,DC,E,EB,EB07,EB07H,29,18
Inpatients,RCB,DC,E,EB,EB07,EB07I,132,59
Inpatients,RCB,DC,E,EB,EB08,EB08I,6,2
Inpatients,RCB,DC,F,FZ,FZ12,FZ12D,2,9
Inpatients,RCB,DC,F,FZ,FZ12,FZ12E,4,10
Inpatients,RCB,DC,F,FZ,FZ12,FZ12F,13,25
Inpatients,RCB,DC,F,FZ,FZ12,FZ12I,1,3
Inpatients,RCB,DC,F,FZ,FZ13,FZ13C,100,87
Inpatients,RCB,DC,F,FZ,FZ13,FZ13D,1,1
Inpatients,RCB,DC,F,FZ,FZ17,FZ17B,4,10
Inpatients,RCB,DC,F,FZ,FZ17,FZ17C,24,44
Inpatients,RCB,DC,F,FZ,FZ17,FZ17D,5,6
Inpatients,RCB,DC,F,FZ,FZ18,FZ18A,7,12
Inpatients,RCB,DC,F,FZ,FZ18,FZ18B,33,42
Inpatients,RCB,DC,F,FZ,FZ18,FZ18C,279,350
Inpatients,RCB,DC,F,FZ,FZ18,FZ18E,16,18
Inpatients,RCB,DC,F,FZ,FZ18,FZ18F,1,2
Inpatients,RCB,DC,F,FZ,FZ19,FZ19A,5,5
Inpatients,RCB,DC,F,FZ,FZ20,FZ20B,2,4
Inpatients,RCB,DC,F,FZ,FZ21,FZ21A,16,18
Inpatients,RCB,DC,F,FZ,FZ22,FZ22A,93,88
Inpatients,RCB,DC,F,FZ,FZ22,FZ22B,3,3
Inpatients,RCB,DC,F,FZ,FZ23,FZ23A,47,29
Inpatients,RCB,DC,F,FZ,FZ24,FZ24A,1,1
Inpatients,RCB,DC,F,FZ,FZ24,FZ24B,10,6
Inpatients,RCB,DC,F,FZ,FZ24,FZ24C,15,9
Inpatients,RCB,DC,F,FZ,FZ27,FZ27B,2,3
Inpatients,RCB,DC,F,FZ,FZ27,FZ27C,8,11
Inpatients,RCB,DC,F,FZ,FZ27,FZ27D,3,4
Inpatients,RCB,DC,F,FZ,FZ31,FZ31F,28,11
Inpatients,RCB,DC,F,FZ,FZ33,FZ33E,2,1
Inpatients,RCB,DC,F,FZ,FZ36,FZ36F,22,8
Inpatients,RCB,DC,F,FZ,FZ37,FZ37F,402,129
Inpatients,RCB,DC,F,FZ,FZ38,FZ38F,2,1
Inpatients,RCB,DC,F,FZ,FZ39,FZ39F,1,1
Inpatients,RCB,DC,F,FZ,FZ41,FZ41F,4,1
Inpatients,RCB,DC,F,FZ,FZ42,FZ42A,43,29
Inpatients,RCB,DC,F,FZ,FZ42,FZ42B,1,1
Inpatients,RCB,DC,F,FZ,FZ43,FZ43C,6,2
Inpatients,RCB,DC,F,FZ,FZ44,FZ44C,12,5
Inpatients,RCB,DC,F,FZ,FZ45,FZ45C,12,5
Inpatients,RCB,DC,F,FZ,FZ46,FZ46C,58,20
Inpatients,RCB,DC,F,FZ,FZ47,FZ47C,41,8
Inpatients,RCB,DC,F,FZ,FZ48,FZ48C,16,6
Inpatients,RCB,DC,F,FZ,FZ49,FZ49C,415,135
Inpatients,RCB,DC,F,FZ,FZ50,FZ50Z,63,26
Inpatients,RCB,DC,F,FZ,FZ51,FZ51Z,941,422
Inpatients,RCB,DC,F,FZ,FZ52,FZ52Z,1026,494
Inpatients,RCB,DC,F,FZ,FZ53,FZ53Z,919,447
Inpatients,RCB,DC,F,FZ,FZ54,FZ54Z,738,258
Inpatients,RCB,DC,F,FZ,FZ55,FZ55Z,332,132
Inpatients,RCB,DC,F,FZ,FZ56,FZ56Z,156,68
Inpatients,RCB,DC,F,FZ,FZ57,FZ57Z,8,1
Inpatients,RCB,DC,F,FZ,FZ58,FZ58A,17,12
Inpatients,RCB,DC,F,FZ,FZ59,FZ59Z,53,13
Inpatients,RCB,DC,F,FZ,FZ60,FZ60Z,1143,415
Inpatients,RCB,DC,F,FZ,FZ61,FZ61Z,3320,1267
Inpatients,RCB,DC,F,FZ,FZ62,FZ62A,27,24
Inpatients,RCB,DC,F,FZ,FZ63,FZ63Z,14,7
Inpatients,RCB,DC,F,FZ,FZ64,FZ64A,345,178
Inpatients,RCB,DC,F,FZ,FZ65,FZ65Z,100,54
Inpatients,RCB,DC,F,FZ,FZ67,FZ67B,2,6
Inpatients,RCB,DC,F,FZ,FZ70,FZ70Z,134,61
Inpatients,RCB,DC,F,FZ,FZ71,FZ71C,8,6
Inpatients,RCB,DC,F,FZ,FZ83,FZ83B,1,3
Inpatients,RCB,DC,F,FZ,FZ87,FZ87B,1,3
Inpatients,RCB,DC,F,FZ,FZ87,FZ87C,7,12
Inpatients,RCB,DC,F,FZ,FZ88,FZ88A,3,3
Inpatients,RCB,DC,G,GA,GA06,GA06B,1,3
Inpatients,RCB,DC,G,GA,GA10,GA10C,1,3
Inpatients,RCB,DC,G,GA,GA10,GA10E,75,132
Inpatients,RCB,DC,G,GA,GA10,GA10F,14,31
Inpatients,RCB,DC,G,GB,GB01,GB01B,1,2
Inpatients,RCB,DC,G,GB,GB03,GB03A,19,13
Inpatients,RCB,DC,G,GB,GB03,GB03B,2,1
Inpatients,RCB,DC,G,GB,GB04,GB04D,3,2
Inpatients,RCB,DC,G,GB,GB05,GB05E,4,4
Inpatients,RCB,DC,G,GB,GB06,GB06D,25,22
Inpatients,RCB,DC,G,GB,GB07,GB07Z,12,9
Inpatients,RCB,DC,G,GB,GB09,GB09C,4,8
Inpatients,RCB,DC,G,GC,GC12,GC12B,18,7
Inpatients,RCB,DC,G,GC,GC15,GC15B,1,3
Inpatients,RCB,DC,G,GC,GC15,GC15D,2,2
Inpatients,RCB,DC,G,GC,GC16,GC16D,3,1
Inpatients,RCB,DC,H,HA,HA21,HA21C,5,29
Inpatients,RCB,DC,H,HA,HA22,HA22B,4,23
Inpatients,RCB,DC,H,HA,HA22,HA22C,51,184
Inpatients,RCB,DC,H,HA,HA23,HA23C,38,114
Inpatients,RCB,DC,H,HA,HA31,HA31B,1,4
Inpatients,RCB,DC,H,HA,HA31,HA31C,8,25
Inpatients,RCB,DC,H,HA,HA32,HA32Z,2,6
Inpatients,RCB,DC,H,HA,HA33,HA33Z,3,6
Inpatients,RCB,DC,H,HA,HA35,HA35Z,2,4
Inpatients,RCB,DC,H,HA,HA39,HA39Z,1,1
Inpatients,RCB,DC,H,HA,HA51,HA51Z,3,13
Inpatients,RCB,DC,H,HA,HA53,HA53Z,12,35
Inpatients,RCB,DC,H,HA,HA54,HA54Z,7,9
Inpatients,RCB,DC,H,HA,HA55,HA55Z,2,3
Inpatients,RCB,DC,H,HA,HA56,HA56A,4,4
Inpatients,RCB,DC,H,HA,HA61,HA61B,1,4
Inpatients,RCB,DC,H,HA,HA61,HA61C,5,17
Inpatients,RCB,DC,H,HA,HA62,HA62Z,1,3
Inpatients,RCB,DC,H,HA,HA63,HA63Z,6,11
Inpatients,RCB,DC,H,HA,HA69,HA69Z,1,1
Inpatients,RCB,DC,H,HA,HA71,HA71B,2,9
Inpatients,RCB,DC,H,HA,HA71,HA71C,4,12
Inpatients,RCB,DC,H,HA,HA72,HA72Z,3,7
Inpatients,RCB,DC,H,HA,HA73,HA73B,2,2
Inpatients,RCB,DC,H,HA,HA73,HA73C,1,1
Inpatients,RCB,DC,H,HA,HA81,HA81C,1,1
Inpatients,RCB,DC,H,HA,HA91,HA91Z,1,1
Inpatients,RCB,DC,H,HA,HA94,HA94Z,1,1
Inpatients,RCB,DC,H,HB,HB14,HB14B,3,9
Inpatients,RCB,DC,H,HB,HB14,HB14C,8,15
Inpatients,RCB,DC,H,HB,HB15,HB15E,1,1
Inpatients,RCB,DC,H,HB,HB15,HB15G,1,1
Inpatients,RCB,DC,H,HB,HB16,HB16C,3,2
