id,act,cost
Inpatients|NT245|EL|H|HR|HR06|HR06A,6,41
Inpatients|NT245|EL|J,,
Inpatients|NT245|EL|J|JC,,
Inpatients|NT245|EL|J|JC|JC06,,
Inpatients|NT245|EL|J|JC|JC06|JC06B,1,1
Inpatients|NT245|EL|L,,
Inpatients|NT245|EL|L|LB,,
Inpatients|NT245|EL|L|LB|LB16,,
Inpatients|NT245|EL|L|LB|LB16|LB16B,1,1
Inpatients|NT245|EL|S,,
Inpatients|NT245|EL|S|SA,,
Inpatients|NT245|EL|S|SA|SA13,,
Inpatients|NT245|EL|S|SA|SA13|SA13A,1,1
Inpatients|NVC28,,
Inpatients|NVC28|DC,,
Inpatients|NVC28|DC|A,,
Inpatients|NVC28|DC|A|AB,,
Inpatients|NVC28|DC|A|AB|AB06,,
Inpatients|NVC28|DC|A|AB|AB06|AB06Z,13,2
Inpatients|NVC28|DC|H,,
Inpatients|NVC28|DC|H|HA,,
Inpatients|NVC28|DC|H|HA|HA25,,
Inpatients|NVC28|DC|H|HA|HA25|HA25C,1,3
Inpatients|NVC28|DC|H|HA|HA31,,
Inpatients|NVC28|DC|H|HA|HA31|HA31C,1,3
Inpatients|NVC28|DC|H|HA|HA33,,
Inpatients|NVC28|DC|H|HA|HA33|HA33Z,1,2
Inpatients|NVC28|DC|H|HA|HA35,,
Inpatients|NVC28|DC|H|HA|HA35|HA35Z,3,6
Inpatients|NVC28|DC|H|HA|HA51,,
Inpatients|NVC28|DC|H|HA|HA51|HA51Z,6,25
Inpatients|NVC28|DC|H|HA|HA54,,
Inpatients|NVC28|DC|H|HA|HA54|HA54Z,2,3
Inpatients|NVC28|DC|H|HA|HA55,,
Inpatients|NVC28|DC|H|HA|HA55|HA55Z,2,3
Inpatients|NVC28|DC|H|HA|HA61,,
Inpatients|NVC28|DC|H|HA|HA61|HA61C,1,3
Inpatients|NVC28|DC|H|HA|HA72,,
Inpatients|NVC28|DC|H|HA|HA72|HA72Z,3,7
Inpatients|NVC28|DC|H|HB,,
Inpatients|NVC28|DC|H|HB|HB12,,
Inpatients|NVC28|DC|H|HB|HB12|HB12B,1,6
Inpatients|NVC28|DC|H|HB|HB14,,
Inpatients|NVC28|DC|H|HB|HB14|HB14C,2,4
Inpatients|NVC28|DC|H|HB|HB15,,
Inpatients|NVC28|DC|H|HB|HB15|HB15E,2,3
Inpatients|NVC28|DC|H|HB|HB19,,
Inpatients|NVC28|DC|H|HB|HB19|HB19Z,12,8
Inpatients|NVC28|DC|H|HB|HB21,,
Inpatients|NVC28|DC|H|HB|HB21|HB21C,7,40
Inpatients|NVC28|DC|H|HB|HB22,,
Inpatients|NVC28|DC|H|HB|HB22|HB22B,25,84
Inpatients|NVC28|DC|H|HB|HB22|HB22C,234,561
Inpatients|NVC28|DC|H|HB|HB23,,
Inpatients|NVC28|DC|H|HB|HB23|HB23B,8,18
Inpatients|NVC28|DC|H|HB|HB23|HB23C,130,215
Inpatients|NVC28|DC|H|HB|HB24,,
Inpatients|NVC28|DC|H|HB|HB24|HB24C,7,8
Inpatients|NVC28|DC|H|HB|HB25,,
Inpatients|NVC28|DC|H|HB|HB25|HB25F,1,1
Inpatients|NVC28|DC|H|HB|HB31,,
Inpatients|NVC28|DC|H|HB|HB31|HB31Z,48,150
Inpatients|NVC28|DC|H|HB|HB32,,
Inpatients|NVC28|DC|H|HB|HB32|HB32A,33,97
Inpatients|NVC28|DC|H|HB|HB33,,
Inpatients|NVC28|DC|H|HB|HB33|HB33D,5,13
Inpatients|NVC28|DC|H|HB|HB33|HB33E,39,66
Inpatients|NVC28|DC|H|HB|HB34,,
Inpatients|NVC28|DC|H|HB|HB34|HB34D,10,19
Inpatients|NVC28|DC|H|HB|HB34|HB34E,63,74
Inpatients|NVC28|DC|H|HB|HB34|HB34G,1,1
Inpatients|NVC28|DC|H|HB|HB35,,
Inpatients|NVC28|DC|H|HB|HB35|HB35C,21,5
Inpatients|NVC28|DC|H|HB|HB39,,
Inpatients|NVC28|DC|H|HB|HB39|HB39Z,86,59
Inpatients|NVC28|DC|H|HB|HB51,,
Inpatients|NVC28|DC|H|HB|HB51|HB51Z,69,332
Inpatients|NVC28|DC|H|HB|HB52,,
Inpatients|NVC28|DC|H|HB|HB52|HB52C,2,7
Inpatients|NVC28|DC|H|HB|HB53,,
Inpatients|NVC28|DC|H|HB|HB53|HB53Z,29,70
Inpatients|NVC28|DC|H|HB|HB54,,
Inpatients|NVC28|DC|H|HB|HB54|HB54B,13,19
Inpatients|NVC28|DC|H|HB|HB54|HB54C,67,75
Inpatients|NVC28|DC|H|HB|HB55,,
Inpatients|NVC28|DC|H|HB|HB55|HB55B,28,25
Inpatients|NVC28|DC|H|HB|HB55|HB55C,101,84
Inpatients|NVC28|DC|H|HB|HB56,,
Inpatients|NVC28|DC|H|HB|HB56|HB56B,2,1
Inpatients|NVC28|DC|H|HB|HB56|HB56C,26,6
Inpatients|NVC28|DC|H|HB|HB59,,
Inpatients|NVC28|DC|H|HB|HB59|HB59Z,3,2
Inpatients|NVC28|DC|H|HB|HB61,,
Inpatients|NVC28|DC|H|HB|HB61|HB61B,18,99
Inpatients|NVC28|DC|H|HB|HB61|HB61C,147,538
Inpatients|NVC28|DC|H|HB|HB62,,
Inpatients|NVC28|DC|H|HB|HB62|HB62B,5,16
Inpatients|NVC28|DC|H|HB|HB62|HB62C,36,88
Inpatients|NVC28|DC|H|HB|HB63,,
Inpatients|NVC28|DC|H|HB|HB63|HB63Z,4,4
Inpatients|NVC28|DC|H|HB|HB69,,
Inpatients|NVC28|DC|H|HB|HB69|HB69Z,5,1
Inpatients|NVC28|DC|H|HB|HB72,,
Inpatients|NVC28|DC|H|HB|HB72|HB72Z,21,51
Inpatients|NVC28|DC|H|HB|HB73,,
Inpatients|NVC28|DC|H|HB|HB73|HB73Z,52,58
Inpatients|NVC28|DC|H|HR,,
Inpatients|NVC28|DC|H|HR|HR06,,
Inpatients|NVC28|DC|H|HR|HR06|HR06A,27,186
Inpatients|NVC28|DC|J,,
Inpatients|NVC28|DC|J|JC,,
Inpatients|NVC28|DC|J|JC|JC14,,
Inpatients|NVC28|DC|J|JC|JC14|JC14Z,1,1
Inpatients|NVC28|DC|J|JC|JC15,,
Inpatients|NVC28|DC|J|JC|JC15|JC15Z,1,1
Inpatients|NVC28|DC|J|JC|JC16,,
Inpatients|NVC28|DC|J|JC|JC16|JC16Z,5,4
Inpatients|NVC28|EL,,
Inpatients|NVC28|EL|H,,
Inpatients|NVC28|EL|H|HA,,
Inpatients|NVC28|EL|H|HA|HA31,,
Inpatients|NVC28|EL|H|HA|HA31|HA31C,2,6
Inpatients|NVC28|EL|H|HA|HA32,,
Inpatients|NVC28|EL|H|HA|HA32|HA32Z,1,3
Inpatients|NVC28|EL|H|HA|HA33,,
Inpatients|NVC28|EL|H|HA|HA33|HA33Z,2,4
Inpatients|NVC28|EL|H|HA|HA51,,
Inpatients|NVC28|EL|H|HA|HA51|HA51Z,1,4
Inpatients|NVC28|EL|H|HA|HA54,,
Inpatients|NVC28|EL|H|HA|HA54|HA54Z,1,1
Inpatients|NVC28|EL|H|HA|HA55,,
Inpatients|NVC28|EL|H|HA|HA55|HA55Z,1,1
Inpatients|NVC28|EL|H|HA|HA71,,
Inpatients|NVC28|EL|H|HA|HA71|HA71C,2,6
Inpatients|NVC28|EL|H|HB,,
Inpatients|NVC28|EL|H|HB|HB11,,
Inpatients|NVC28|EL|H|HB|HB11|HB11B,3,18
Inpatients|NVC28|EL|H|HB|HB11|HB11C,51,298
Inpatients|NVC28|EL|H|HB|HB12,,
Inpatients|NVC28|EL|H|HB|HB12|HB12A,6,44
Inpatients|NVC28|EL|H|HB|HB12|HB12B,23,137
Inpatients|NVC28|EL|H|HB|HB12|HB12C,206,1077
Inpatients|NVC28|EL|H|HB|HB21,,
Inpatients|NVC28|EL|H|HB|HB21|HB21A,10,76
Inpatients|NVC28|EL|H|HB|HB21|HB21B,41,260
Inpatients|NVC28|EL|H|HB|HB21|HB21C,194,1095
Inpatients|NVC28|EL|H|HB|HB22,,
Inpatients|NVC28|EL|H|HB|HB22|HB22B,1,3
Inpatients|NVC28|EL|H|HB|HB22|HB22C,8,19
Inpatients|NVC28|EL|H|HB|HB23,,
Inpatients|NVC28|EL|H|HB|HB23|HB23B,2,5
Inpatients|NVC28|EL|H|HB|HB23|HB23C,9,15
Inpatients|NVC28|EL|H|HB|HB31,,
Inpatients|NVC28|EL|H|HB|HB31|HB31Z,24,120
Inpatients|NVC28|EL|H|HB|HB32,,
Inpatients|NVC28|EL|H|HB|HB32|HB32A,39,115
Inpatients|NVC28|EL|H|HB|HB33,,
Inpatients|NVC28|EL|H|HB|HB33|HB33D,2,5
Inpatients|NVC28|EL|H|HB|HB33|HB33E,12,20
Inpatients|NVC28|EL|H|HB|HB34,,
Inpatients|NVC28|EL|H|HB|HB34|HB34D,1,2
Inpatients|NVC28|EL|H|HB|HB34|HB34E,15,16
Inpatients|NVC28|EL|H|HB|HB35,,
Inpatients|NVC28|EL|H|HB|HB35|HB35B,1,1
Inpatients|NVC28|EL|H|HB|HB35|HB35C,2,1
Inpatients|NVC28|EL|H|HB|HB51,,
Inpatients|NVC28|EL|H|HB|HB51|HB51Z,2,10
Inpatients|NVC28|EL|H|HB|HB54,,
Inpatients|NVC28|EL|H|HB|HB54|HB54B,1,1
Inpatients|NVC28|EL|H|HB|HB54|HB54C,5,6
Inpatients|NVC28|EL|H|HB|HB55,,
Inpatients|NVC28|EL|H|HB|HB55|HB55C,2,2
Inpatients|NVC28|EL|H|HB|HB61,,
Inpatients|NVC28|EL|H|HB|HB61|HB61B,8,44
Inpatients|NVC28|EL|H|HB|HB61|HB61C,23,118
Inpatients|NVC28|EL|H|HB|HB62,,
Inpatients|NVC28|EL|H|HB|HB62|HB62C,3,7
Inpatients|NVC28|EL|H|HB|HB71,,
Inpatients|NVC28|EL|H|HB|HB71|HB71C,1,5
Inpatients|NVC28|EL|H|HB|HB72,,
Inpatients|NVC28|EL|H|HB|HB72|HB72Z,2,5
Inpatients|NVC28|EL|H|HB|HB73,,
Inpatients|NVC28|EL|H|HB|HB73|HB73Z,2,2
Inpatients|NVC28|EL|H|HR,,
Inpatients|NVC28|EL|H|HR|HR04,,
Inpatients|NVC28|EL|H|HR|HR04|HR04B,2,21
Inpatients|NVC28|EL|H|HR|HR04|HR04C,8,81
Inpatients|NVC28|EL|H|HR|HR05,,
Inpatients|NVC28|EL|H|HR|HR05|HR05Z,152,1350
Inpatients|NVC28|EL|H|HR|HR06,,
Inpatients|NVC28|EL|H|HR|HR06|HR06A,5,34
Inpatients|NVC28|EL|J,,
Inpatients|NVC28|EL|J|JC,,
Inpatients|NVC28|EL|J|JC|JC07,,
Inpatients|NVC28|EL|J|JC|JC07|JC07Z,1,1
Inpatients|RCB,,
Inpatients|RCB|DC,,
Inpatients|RCB|DC|A,,
Inpatients|RCB|DC|A|AA,,
Inpatients|RCB|DC|A|AA|AA15,,
Inpatients|RCB|DC|A|AA|AA15|AA15A,1,5
Inpatients|RCB|DC|A|AA|AA19,,
Inpatients|RCB|DC|A|AA|AA19|AA19A,2,4
Inpatients|RCB|DC|A|AA|AA20,,
Inpatients|RCB|DC|A|AA|AA20|AA20A,4,10
Inpatients|RCB|DC|A|AA|AA20|AA20B,20,37
Inpatients|RCB|DC|A|AA|AA21,,
Inpatients|RCB|DC|A|AA|AA21|AA21A,66,100
Inpatients|RCB|DC|A|AA|AA21|AA21B,31,26
Inpatients|RCB|DC|A|AA|AA24,,
Inpatients|RCB|DC|A|AA|AA24|AA24A,1,1
Inpatients|RCB|DC|A|AA|AA25,,
Inpatients|RCB|DC|A|AA|AA25|AA25A,13,17
Inpatients|RCB|DC|A|AA|AA25|AA25B,33,16
Inpatients|RCB|DC|A|AA|AA26,,
Inpatients|RCB|DC|A|AA|AA26|AA26A,123,91
Inpatients|RCB|DC|A|AA|AA26|AA26B,208,122
Inpatients|RCB|DC|A|AA|AA30,,
Inpatients|RCB|DC|A|AA|AA30|AA30A,1,1
Inpatients|RCB|DC|A|AA|AA30|AA30B,85,29
Inpatients|RCB|DC|A|AA|AA31,,
Inpatients|RCB|DC|A|AA|AA31|AA31A,32,20
Inpatients|RCB|DC|A|AA|AA31|AA31B,76,30
Inpatients|RCB|DC|A|AA|AA33,,
Inpatients|RCB|DC|A|AA|AA33|AA33D,3,2
Inpatients|RCB|DC|A|AB,,
Inpatients|RCB|DC|A|AB|AB02,,
Inpatients|RCB|DC|A|AB|AB02|AB02Z,3,2
Inpatients|RCB|DC|A|AB|AB03,,
Inpatients|RCB|DC|A|AB|AB03|AB03Z,38,19
Inpatients|RCB|DC|A|AB|AB04,,
Inpatients|RCB|DC|A|AB|AB04|AB04Z,138,81
Inpatients|RCB|DC|A|AB|AB05,,
Inpatients|RCB|DC|A|AB|AB05|AB05Z,180,84
Inpatients|RCB|DC|A|AB|AB06,,
Inpatients|RCB|DC|A|AB|AB06|AB06Z,436,81
Inpatients|RCB|DC|A|AB|AB08,,
Inpatients|RCB|DC|A|AB|AB08|AB08Z,214,137
Inpatients|RCB|DC|A|AB|AB09,,
Inpatients|RCB|DC|A|AB|AB09|AB09Z,18,10
Inpatients|RCB|DC|A|AB|AB10,,
Inpatients|RCB|DC|A|AB|AB10|AB10Z,1,1
Inpatients|RCB|DC|B,,
Inpatients|RCB|DC|B|BZ,,
Inpatients|RCB|DC|B|BZ|BZ01,,
Inpatients|RCB|DC|B|BZ|BZ01|BZ01Z,53,53
Inpatients|RCB|DC|B|BZ|BZ02,,
Inpatients|RCB|DC|B|BZ|BZ02|BZ02Z,2175,1615
Inpatients|RCB|DC|B|BZ|BZ03,,
Inpatients|RCB|DC|B|BZ|BZ03|BZ03Z,18,17
Inpatients|RCB|DC|B|BZ|BZ05,,
Inpatients|RCB|DC|B|BZ|BZ05|BZ05Z,12,15
Inpatients|RCB|DC|B|BZ|BZ06,,
Inpatients|RCB|DC|B|BZ|BZ06|BZ06A,69,60
Inpatients|RCB|DC|B|BZ|BZ07,,
Inpatients|RCB|DC|B|BZ|BZ07|BZ07A,142,86
Inpatients|RCB|DC|B|BZ|BZ07|BZ07B,7,5
Inpatients|RCB|DC|B|BZ|BZ08,,
Inpatients|RCB|DC|B|BZ|BZ08|BZ08A,2,4
Inpatients|RCB|DC|B|BZ|BZ09,,
Inpatients|RCB|DC|B|BZ|BZ09|BZ09A,12,17
Inpatients|RCB|DC|B|BZ|BZ09|BZ09B,1,1
Inpatients|RCB|DC|B|BZ|BZ10,,
Inpatients|RCB|DC|B|BZ|BZ10|BZ10A,25,15
Inpatients|RCB|DC|B|BZ|BZ10|BZ10B,2,2
Inpatients|RCB|DC|B|BZ|BZ12,,
Inpatients|RCB|DC|B|BZ|BZ12|BZ12Z,4,6
Inpatients|RCB|DC|B|BZ|BZ13,,
Inpatients|RCB|DC|B|BZ|BZ13|BZ13Z,16,14
Inpatients|RCB|DC|B|BZ|BZ14,,
Inpatients|RCB|DC|B|BZ|BZ14|BZ14A,3,4
Inpatients|RCB|DC|B|BZ|BZ15,,
Inpatients|RCB|DC|B|BZ|BZ15|BZ15A,10,11
Inpatients|RCB|DC|B|BZ|BZ15|BZ15B,16,18
Inpatients|RCB|DC|B|BZ|BZ16,,
Inpatients|RCB|DC|B|BZ|BZ16|BZ16A,6,6
Inpatients|RCB|DC|B|BZ|BZ16|BZ16B,2,2
Inpatients|RCB|DC|B|BZ|BZ17,,
Inpatients|RCB|DC|B|BZ|BZ17|BZ17Z,13,18
Inpatients|RCB|DC|B|BZ|BZ18,,
Inpatients|RCB|DC|B|BZ|BZ18|BZ18Z,84,82
Inpatients|RCB|DC|B|BZ|BZ19,,
Inpatients|RCB|DC|B|BZ|BZ19|BZ19Z,11,5
Inpatients|RCB|DC|B|BZ|BZ20,,
Inpatients|RCB|DC|B|BZ|BZ20|BZ20Z,20,36
Inpatients|RCB|DC|B|BZ|BZ21,,
Inpatients|RCB|DC|B|BZ|BZ21|BZ21Z,135,193
Inpatients|RCB|DC|B|BZ|BZ22,,
Inpatients|RCB|DC|B|BZ|BZ22|BZ22Z,40,47
Inpatients|RCB|DC|B|BZ|BZ23,,
Inpatients|RCB|DC|B|BZ|BZ23|BZ23Z,39,14
Inpatients|RCB|DC|B|BZ|BZ24,,
Inpatients|RCB|DC|B|BZ|BZ24|BZ24C,27,8
Inpatients|RCB|DC|C,,
Inpatients|RCB|DC|C|CZ,,
Inpatients|RCB|DC|C|CZ|CZ01,,
Inpatients|RCB|DC|C|CZ|CZ01|CZ01V,9,6
Inpatients|RCB|DC|C|CZ|CZ01|CZ01Y,5,1
Inpatients|RCB|DC|C|CZ|CZ02,,
Inpatients|RCB|DC|C|CZ|CZ02|CZ02T,1,1
Inpatients|RCB|DC|C|CZ|CZ02|CZ02X,33,33
Inpatients|RCB|DC|C|CZ|CZ02|CZ02Y,31,26
Inpatients|RCB|DC|C|CZ|CZ03,,
Inpatients|RCB|DC|C|CZ|CZ03|CZ03U,1,3
Inpatients|RCB|DC|C|CZ|CZ03|CZ03V,23,58
Inpatients|RCB|DC|C|CZ|CZ03|CZ03Y,18,35
Inpatients|RCB|DC|C|CZ|CZ05,,
Inpatients|RCB|DC|C|CZ|CZ05|CZ05S,4,5
Inpatients|RCB|DC|C|CZ|CZ05|CZ05T,78,86
Inpatients|RCB|DC|C|CZ|CZ05|CZ05V,6,7
Inpatients|RCB|DC|C|CZ|CZ05|CZ05Y,65,69
Inpatients|RCB|DC|C|CZ|CZ08,,
Inpatients|RCB|DC|C|CZ|CZ08|CZ08T,158,113
Inpatients|RCB|DC|C|CZ|CZ08|CZ08V,29,20
Inpatients|RCB|DC|C|CZ|CZ08|CZ08Y,43,29
Inpatients|RCB|DC|C|CZ|CZ09,,
Inpatients|RCB|DC|C|CZ|CZ09|CZ09U,3,4
Inpatients|RCB|DC|C|CZ|CZ09|CZ09V,5,5
Inpatients|RCB|DC|C|CZ|CZ09|CZ09Y,6,6
Inpatients|RCB|DC|C|CZ|CZ10,,
Inpatients|RCB|DC|C|CZ|CZ10|CZ10U,14,27
Inpatients|RCB|DC|C|CZ|CZ10|CZ10V,8,16
Inpatients|RCB|DC|C|CZ|CZ10|CZ10Y,16,32
Inpatients|RCB|DC|C|CZ|CZ12,,
Inpatients|RCB|DC|C|CZ|CZ12|CZ12U,16,11
Inpatients|RCB|DC|C|CZ|CZ12|CZ12V,36,25
Inpatients|RCB|DC|C|CZ|CZ12|CZ12Y,45,27
Inpatients|RCB|DC|C|CZ|CZ13,,
Inpatients|RCB|DC|C|CZ|CZ13|CZ13U,5,6
Inpatients|RCB|DC|C|CZ|CZ13|CZ13V,24,29
Inpatients|RCB|DC|C|CZ|CZ13|CZ13Y,88,102
Inpatients|RCB|DC|C|CZ|CZ14,,
Inpatients|RCB|DC|C|CZ|CZ14|CZ14U,1,2
Inpatients|RCB|DC|C|CZ|CZ14|CZ14V,15,23
Inpatients|RCB|DC|C|CZ|CZ14|CZ14Y,23,33
Inpatients|RCB|DC|C|CZ|CZ15,,
Inpatients|RCB|DC|C|CZ|CZ15|CZ15N,10,17
Inpatients|RCB|DC|C|CZ|CZ15|CZ15Q,8,12
Inpatients|RCB|DC|C|CZ|CZ16,,
Inpatients|RCB|DC|C|CZ|CZ16|CZ16Q,4,5
Inpatients|RCB|DC|C|CZ|CZ17,,
Inpatients|RCB|DC|C|CZ|CZ17|CZ17U,3,4
Inpatients|RCB|DC|C|CZ|CZ17|CZ17V,7,15
Inpatients|RCB|DC|C|CZ|CZ17|CZ17Y,12,17
Inpatients|RCB|DC|C|CZ|CZ21,,
Inpatients|RCB|DC|C|CZ|CZ21|CZ21V,2,2
Inpatients|RCB|DC|C|CZ|CZ21|CZ21Y,4,2
Inpatients|RCB|DC|C|CZ|CZ22,,
Inpatients|RCB|DC|C|CZ|CZ22|CZ22Y,1,1
Inpatients|RCB|DC|C|CZ|CZ23,,
Inpatients|RCB|DC|C|CZ|CZ23|CZ23Y,3,1
Inpatients|RCB|DC|C|CZ|CZ27,,
Inpatients|RCB|DC|C|CZ|CZ27|CZ27Z,12,29
Inpatients|RCB|DC|C|CZ|CZ30,,
Inpatients|RCB|DC|C|CZ|CZ30|CZ30U,11,1
Inpatients|RCB|DC|C|CZ|CZ30|CZ30Y,3,1
Inpatients|RCB|DC|C|CZ|CZ31,,
Inpatients|RCB|DC|C|CZ|CZ31|CZ31Y,2,1
Inpatients|RCB|DC|C|CZ|CZ32,,
Inpatients|RCB|DC|C|CZ|CZ32|CZ32U,3,1
Inpatients|RCB|DC|C|CZ|CZ32|CZ32Y,1,1
Inpatients|RCB|DC|C|CZ|CZ34,,
Inpatients|RCB|DC|C|CZ|CZ34|CZ34U,11,6
Inpatients|RCB|DC|C|CZ|CZ34|CZ34Y,15,2
Inpatients|RCB|DC|C|CZ|CZ36,,
Inpatients|RCB|DC|C|CZ|CZ36|CZ36U,8,5
Inpatients|RCB|DC|C|CZ|CZ36|CZ36Y,32,17
Inpatients|RCB|DC|C|CZ|CZ37,,
Inpatients|RCB|DC|C|CZ|CZ37|CZ37U,160,73
Inpatients|RCB|DC|C|CZ|CZ37|CZ37Y,91,41
Inpatients|RCB|DC|C|CZ|CZ39,,
Inpatients|RCB|DC|C|CZ|CZ39|CZ39Y,5,4
Inpatients|RCB|DC|C|CZ|CZ40,,
Inpatients|RCB|DC|C|CZ|CZ40|CZ40U,21,17
Inpatients|RCB|DC|C|CZ|CZ40|CZ40Y,65,35
Inpatients|RCB|DC|C|CZ|CZ41,,
Inpatients|RCB|DC|C|CZ|CZ41|CZ41U,10,9
