Year,HRG_Chapter,HRG,Unit_Cost,Activity,Total_Cost
2015,D,DZ12B,1387,8,11095
2015,D,DZ14A,3557,3,10671
2015,D,DZ15A,3058,1,3058
2015,D,DZ15E,995,83,82592
2015,D,DZ15F,654,57,37280
2015,D,DZ17C,1142,2,2284
2015,D,DZ18Z,3314,3,9942
2015,D,DZ19A,1706,40,68245
2015,D,DZ20Z,1488,10,14880
2015,D,DZ21A,514,119,61156
2015,D,DZ21E,3346,24,80306
2015,D,DZ24B,2018,17,34303
2015,D,DZ24C,1853,4,7412
2015,D,DZ25B,1538,4,6150
2015,D,DZ27D,2745,12,32941
2015,D,DZ28Z,463,12,5559
2015,E,EA05Z,4108,68,279324
2015,E,EA49Z,4219,25,105472
2015,E,EB01Z,613,1152,705718
2015,E,EB03I,1688,135,227935
2015,E,EB04H,4092,1,4092
2015,E,EB06Z,2882,18,51876
2015,E,EB07I,761,376,285956
2015,E,EB08I,681,290,197363
2015,F,FZ12E,4107,12,49285
2015,F,FZ12F,3115,21,65405
2015,F,FZ13C,776,9,6980
2015,F,FZ17A,5336,2,10671
2015,F,FZ20D,3705,1,3705
2015,F,FZ22A,1229,109,134006
2015,F,FZ27B,3167,4,12669
2015,F,FZ27C,2450,4,9799
2015,F,FZ33C,4104,8,32829
2015,F,FZ33D,2080,2,4161
2015,F,FZ36D,3888,121,470422
2015,F,FZ39D,3311,6,19866
2015,F,FZ41F,396,47,18614
2015,F,FZ43B,1803,77,138816
2015,F,FZ43C,400,130,52023
2015,F,FZ45C,438,159,69711
2015,F,FZ46A,3943,18,70970
2015,F,FZ49A,4061,6,24364
2015,F,FZ56Z,695,4,2780
2015,F,FZ64A,665,3,1995
2015,F,FZ71B,3650,11,40152
2015,F,FZ71C,848,4,3392
2015,F,FZ78A,9754,1,9754
2015,F,FZ80B,8170,1,8170
2015,F,FZ87A,5167,7,36170
2015,G,GA06A,7140,1,7140
2015,G,GA10C,3881,2,7762
2015,G,GA10D,3109,47,146140
2015,G,GA13B,2150,1,2150
2015,G,GB02A,6838,3,20514
2015,G,GB03A,4627,43,198943
2015,G,GB05C,7460,8,59677
2015,G,GB05D,4537,26,117972
2015,G,GB06B,3724,77,286749
2015,G,GB06C,2941,36,105869
2015,G,GB06D,1075,6,6452
2015,G,GB07Z,964,3,2891
2015,G,GB09B,5323,6,31939
2015,G,GC12B,595,5,2973
2015,G,GC16B,3700,41,151690
2015,G,GC16D,1234,224,276410
2015,H,HA11C,7939,8,63511
2015,H,HA13B,4303,19,81750
2015,H,HA13C,4913,57,280020
2015,H,HA14C,1511,2,3021
2015,H,HA21B,11676,1,11676
2015,H,HA21C,5898,8,47185
2015,H,HA25C,2553,4,10212
2015,H,HA31C,3534,37,130752
2015,H,HA34Z,1961,4,7842
2015,H,HA35Z,1847,10,18468
2015,H,HA56A,1066,11,11726
2015,H,HA63Z,1913,14,26775
2015,H,HA99Z,1184,2,2368
2015,H,HB12A,8810,4,35240
2015,H,HB15E,1922,10,19223
2015,H,HB15F,1506,1,1506
2015,H,HB21B,6336,1,6336
2015,H,HB21C,5752,6,34514
2015,H,HB25E,2656,1,2656
2015,H,HB34E,1197,2,2395
2015,H,HB59Z,565,1,565
2015,H,HB61B,16247,1,16247
2015,H,HB72Z,2743,4,10973
2015,H,HB91Z,451,5,2256
2015,H,HC12Z,603,28,16880
2015,H,HC20B,3779,17,64251
2015,H,HC20C,1847,29,53571
2015,H,HC27B,1959,62,121465
2015,H,HC31B,6859,2,13718
2015,H,HC32B,2058,36,74074
2015,H,HC32C,756,95,71790
2015,H,HD21B,481,84,40443
2015,H,HD24B,1301,31,40322
2015,H,HD26B,644,103,66309
2015,H,HD26C,483,25,12080
2015,H,HD40B,2424,17,41200
2015,H,HD40C,1527,2,3054
2015,H,HR04B,16085,8,128676
2015,H,HR04C,21232,5,106160
2015,H,HR06A,7942,33,262071
2015,J,JA12A,3446,16,55141
2015,J,JA18A,3255,9,29296
2015,J,JA24A,5378,6,32268
2015,J,JB01A,2316,1,2316
2015,J,JB13B,2460,1,2460
2015,J,JB21A,1985,2,3970
2015,J,JC03B,2664,8,21310
2015,J,JC03C,1673,10,16731
2015,J,JC04B,1761,8,14085
2015,J,JC04C,1318,11,14494
2015,J,JC06B,1081,8,8645
2015,J,JC07Z,765,7,5356
2015,J,JC14Z,674,20,13484
2015,J,JC16Z,798,2,1597
2015,J,JD01B,1726,7,12079
2015,J,JD01C,1516,1,1516
2015,J,JD03A,2839,199,564891
2015,J,JD05A,1360,12,16320
2015,J,JD06B,519,25,12977
2015,K,KB01B,1137,15,17051
2015,K,KB03A,1318,1,1318
2015,K,KC05A,3345,69,230809
2015,K,KC05E,994,61,60621
2015,K,KC05F,481,5,2404
2015,L,LA08A,3990,7,27933
2015,L,LA09H,450,58,26089
2015,L,LB01A,4777,8,38218
2015,L,LB06E,2376,4,9505
2015,L,LB14Z,895,2,1791
2015,L,LB15E,507,210,106403
2015,L,LB16B,1047,49,51297
2015,L,LB20B,622,10,6225
2015,M,MB04A,1768,5,8839
2015,M,MB08Z,482,84,40477
2015,P,PA02B,748,44,32895
2015,P,PA03A,1011,12,12132
2015,P,PA06Z,3271,2,6541
2015,P,PA07B,511,31,15835
2015,P,PA15B,869,186,161661
2015,P,PA16A,1760,5,8800
2015,P,PA18A,971,3,2913
2015,P,PA19A,460,504,231915
2015,P,PA20A,1020,6,6117
2015,P,PA21A,923,42,38783
2015,P,PA26A,1066,24,25586
2015,P,PA28A,1036,10,10361
2015,P,PA30A,3459,3,10377
2015,P,PA34A,978,12,11738
2015,P,PA43A,4140,2,8281
2015,P,PA45Z,3662,2,7323
2015,P,PA48A,2410,4,9641
2015,P,PA49Z,644,18,11596
2015,P,PA53A,2627,9,23643
2015,P,PA56A,760,9,6840
2015,P,PA60D,552,4,2209
2015,P,PA62Z,508,28,14216
2015,P,PA64A,359,14,5023
2015,P,PA65B,1441,7,10090
2015,P,PA66Z,496,29,14394
2015,P,PA70Z,584,62,36222
2015,Q,QZ04Z,5911,63,372367
2015,Q,QZ05A,4144,5,20722
2015,Q,QZ12Z,7544,32,241395
2015,Q,QZ13A,1242,16,19870
2015,Q,QZ15A,8304,6,49826
2015,Q,QZ16B,4404,9,39636
2015,R,RC16Z,4740,34,161168
2015,R,RC31Z,4085,1,4085
2015,R,RC32Z,4085,12,49026
2015,S,SA02F,1387,4,5549
2015,S,SA03D,2677,3,8031
2015,S,SA06F,1717,3,5150
2015,S,SA09D,2786,74,206142
2015,S,SA12D,2632,7,18427
2015,S,SA13B,603,2,1206
2015,S,SA25F,5921,6,35523
2015,S,SA30Z,4125,21,86625
2015,V,VA10B,1413,42,59358
2015,V,VA10C,3763,43,161823
2015,V,VA11A,1781,8,14250
2015,V,VA12B,4748,17,80722
2015,V,VA14A,6042,1,6042
2015,W,WA06W,756,92,69510
2015,W,WA09Y,1085,6,6511
2015,W,WA11V,1222,46,56195
2015,W,WA11X,560,278,155715
2015,W,WA12X,1733,86,148997
2015,W,WA12Y,758,63,47729
2015,W,WA16W,520,16,8322
2015,W,WA17V,4000,22,87991
2015,W,WA18X,1630,78,127115
2015,W,WA20W,520,20,10397
2015,W,WA21W,1215,3,3646
2015,W,WA23V,3605,40,144219
2015,W,WA24Z,4180,3,12539
2015,M,MA07D,3049,21,64037
2015,M,MA08Z,2229,17,37900
2015,M,MA09Z,2731,2,5463
2015,M,MA17C,1067,43,45887
2015,M,MA17D,1483,1,1483
2015,M,MA19A,1000,57,56995
2015,M,MB03B,623,63,39267
2015,M,MB04B,1081,98,105952
2015,M,MB07Z,2979,1,2979
2015,N,NZ11B,1673,1,1673
2015,N,NZ11F,2044,2,4089
2015,P,PA08B,848,13,11023
2015,P,PA12Z,710,106,75301
2015,P,PA14C,2338,37,86517
2015,P,PA14D,1099,75,82423
2015,P,PA14E,403,114,45974
2015,P,PA17A,1276,52,66352
2015,P,PA17B,853,165,140790
2015,P,PA22Z,464,10,4643
2015,P,PA23A,3295,6,19773
2015,P,PA23B,1232,7,8621
2015,P,PA25A,2681,1,2681
2015,P,PA25B,1116,3,3347
2015,P,PA30B,788,10,7879
2015,P,PA31Z,3130,2,6260
2015,P,PA34B,688,109,74995
2015,P,PA48B,981,8,7850
2015,P,PA57Z,885,36,31846
2015,P,PA60F,755,2,1510
2015,P,PA63B,1389,20,27785
2015,P,PA64C,1133,19,21533
2015,Q,QZ01A,8860,4,35439
2015,Q,QZ05B,2190,6,13141
2015,Q,QZ11A,17579,2,35157
2015,Q,QZ14A,1145,10,11447
2015,Q,QZ14B,895,1,895
2015,Q,QZ15C,3177,3,9530
2015,Q,QZ17A,4407,5,22036
2015,R,RC33Z,4085,3,12256
2015,R,RC41Z,3709,2,7418
2015,S,SA02D,363,1,363
2015,S,SA03F,1871,2,3741
2015,S,SA06D,3362,11,36986
2015,S,SA08D,1902,7,13314
2015,S,SA08F,960,10,9596
2015,S,SA09F,1102,13,14320
2015,S,SA12F,1468,5,7340
2015,S,SA13A,634,22,13945
2015,S,SA17D,2255,2,4509
2015,S,SA24D,8667,1,8667
